,missing_values
identifier,0
industry,0
number_of_experiences,0
uuid_0,0
title_0,0
description_0,5
start_0,0
end_0,0
ESCO_uri_0,0
ESCO_title_0,0
uuid_1,0
title_1,0
description_1,2
start_1,0
end_1,0
ESCO_uri_1,0
ESCO_title_1,0
uuid_2,96
title_2,96
description_2,96
start_2,96
end_2,96
ESCO_uri_2,96
ESCO_title_2,96
uuid_3,675
title_3,675
description_3,675
start_3,675
end_3,675
ESCO_uri_3,675
ESCO_title_3,675
uuid_4,1379
title_4,1379
description_4,1379
start_4,1379
end_4,1379
ESCO_uri_4,1379
ESCO_title_4,1379
uuid_5,1642
title_5,1642
description_5,1642
start_5,1642
end_5,1642
ESCO_uri_5,1642
ESCO_title_5,1642
uuid_6,1837
title_6,1837
description_6,1837
start_6,1837
end_6,1837
ESCO_uri_6,1837
ESCO_title_6,1837
uuid_7,1982
title_7,1982
description_7,1983
start_7,1982
end_7,1982
ESCO_uri_7,1982
ESCO_title_7,1982
uuid_8,2063
title_8,2063
description_8,2063
start_8,2063
end_8,2063
ESCO_uri_8,2063
ESCO_title_8,2063
uuid_9,2110
title_9,2110
description_9,2110
start_9,2110
end_9,2110
ESCO_uri_9,2110
ESCO_title_9,2110
uuid_10,2139
title_10,2139
description_10,2139
start_10,2139
end_10,2139
ESCO_uri_10,2139
ESCO_title_10,2139
uuid_11,2148
title_11,2148
description_11,2148
start_11,2148
end_11,2148
ESCO_uri_11,2148
ESCO_title_11,2148
uuid_12,2153
title_12,2153
description_12,2153
start_12,2153
end_12,2153
ESCO_uri_12,2153
ESCO_title_12,2153
uuid_13,2158
title_13,2158
description_13,2158
start_13,2158
end_13,2158
ESCO_uri_13,2158
ESCO_title_13,2158
uuid_14,2161
title_14,2161
description_14,2161
start_14,2161
end_14,2161
ESCO_uri_14,2161
ESCO_title_14,2161
uuid_15,2163
title_15,2163
description_15,2163
start_15,2163
end_15,2163
ESCO_uri_15,2163
ESCO_title_15,2163
uuid_16,2163
title_16,2163
description_16,2163
start_16,2163
end_16,2163
ESCO_uri_16,2163
ESCO_title_16,2163
